"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox client accepts only a literal additive Surv formula",8,0,FALSE,FALSE,0,0.135,0.012,0.358000000000001,8
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox cross-owner contracts require both real custodian signatures",12,0,FALSE,FALSE,0,3.073,0.379,11.645,12
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox client canonical argmin rescales slopes and omits inference",13,0,FALSE,FALSE,0,0.674,0.0760000000000001,1.406,13
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","production Cox client requires authenticated sources and exposes no test evaluator",5,0,FALSE,FALSE,0,0.0389999999999997,0.00499999999999989,0.187000000000005,5
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox result validates all source owners separately from computation peers",20,0,FALSE,FALSE,0,2.948,0.39,5.913,20
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox server and client canonical contracts agree",1,0,FALSE,FALSE,0,1.691,0.127,2.64899999999999,1
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox integrated row scope and measured admission require valid signatures",11,0,FALSE,FALSE,0,3.322,0.215,5.277,11
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox signed layout pins the terminal share conversion for fusion",4,0,FALSE,FALSE,0,0.285,0.042,0.522999999999996,4
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox K-owner source contracts retain exactly two computation authorities",62,0,FALSE,FALSE,0,5.079,0.804,7.093,62
"test-dp-cox-grid-cross.R","dp-cox-grid-cross","Cox catalog fragments bind time and event to the advertising owner",54,0,FALSE,FALSE,0,4.285,0.308,6.15600000000001,54
"test-dp-cox-grid-cross-e2e.R","dp-cox-grid-cross-e2e","two DSLite custodians exercise tagged Cox oracle and DP grid selection",26,0,FALSE,FALSE,0,3.566,0.274,5.80499999999999,26
"test-dp-cox-cross-public-evidence.R","dp-cox-cross-public-evidence","Cox public evidence authenticates cold two-authority source and release bindings",281,0,FALSE,FALSE,0,60.816,4.868,90.518,281
"test-dp-cox-cross-public-evidence.R","dp-cox-cross-public-evidence","Cox public evidence retains the private-v2 400-row scope",1,0,FALSE,FALSE,0,0.227000000000004,0.0300000000000011,0.272999999999996,1
