"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-active-first-typed-migration.R","active-first-typed-migration","active first-wave callers no longer select generic blob slots",8,0,FALSE,FALSE,0,0.702,0.0419999999999999,1.058,8
"test-active-first-typed-migration.R","active-first-typed-migration","IKNP and correlation callers use typed/direct contracts",6,0,FALSE,FALSE,0,0.0280000000000005,0.001,0.0389999999999997,6
"test-active-first-typed-migration.R","active-first-typed-migration","typed relay wrappers retain access to their producer connection",6,0,FALSE,FALSE,0,0.216,0.021,0.536000000000001,6
"test-canonical-typed-session-ids.R","canonical-typed-session-ids","active typed model families use unprefixed canonical UUID sessions",6,0,FALSE,FALSE,0,0.26,0.003,0.276,6
"test-canonical-typed-session-ids.R","canonical-typed-session-ids","all package-generated MPC sessions satisfy the relay grammar",4,0,FALSE,FALSE,0,0.144,0.026,0.412000000000001,4
"test-capsule-method-inventory.R","capsule-method-inventory","capsule migration inventory covers the complete public surface",9,0,FALSE,FALSE,0,0.278,0.018,0.301,9
"test-capsule-method-inventory.R","capsule-method-inventory","inventory separates current, migration, artifact and inference state",16,0,FALSE,FALSE,0,0.243,0.005,0.257,16
"test-capsule-method-inventory.R","capsule-method-inventory","sticky Synopsis artifacts never deny a canonical replay",20,0,FALSE,FALSE,0,0.111000000000001,0.00600000000000001,0.128,20
"test-capsule-method-inventory.R","capsule-method-inventory","aliases and wrappers retain honest routing semantics",38,0,FALSE,FALSE,0,0.136,0.005,0.158999999999999,38
"test-capsule-method-inventory.R","capsule-method-inventory","remote-call evidence is classified and scoped",702,0,FALSE,FALSE,0,1.332,0.119,1.81,702
"test-capsule-method-inventory.R","capsule-method-inventory","retired legacy DP endpoints are absent from public route evidence",2,0,FALSE,FALSE,0,0.0939999999999994,0,0.0950000000000006,2
"test-capsule-method-inventory.R","capsule-method-inventory","verified legacy disclosure evidence cannot regress to omission",19,0,FALSE,FALSE,0,0.112,0.002,0.124000000000001,19
"test-capsule-method-inventory.R","capsule-method-inventory","planned artifacts describe the actual biomedical contracts",15,0,FALSE,FALSE,0,0.117000000000001,0.004,0.129,15
"test-capsule-method-inventory.R","capsule-method-inventory","estimands and inference requirements match implemented semantics",22,0,FALSE,FALSE,0,0.132,0.003,0.149000000000001,22
"test-capsule-method-inventory.R","capsule-method-inventory","implemented Synopsis producers and postprocessors are explicit",43,0,FALSE,FALSE,0,0.191000000000001,0.0159999999999999,0.232000000000001,43
"test-capsule-method-inventory.R","capsule-method-inventory","MI is a scoped Synopsis postprocessor, not the retired mutating route",4,0,FALSE,FALSE,0,0.081999999999999,0.002,0.0879999999999992,4
"test-capsule-method-inventory.R","capsule-method-inventory","mixed variants and Frequency compatibility names have explicit scopes",18,0,FALSE,FALSE,0,0.256,0.00800000000000001,0.274000000000001,18
"test-capsule-method-inventory.R","capsule-method-inventory","NB2 slope and categorical MI compatibility routes retain explicit scopes",4,0,FALSE,FALSE,0,0.162000000000001,0.001,0.165000000000001,4
"test-chisq-cross-contract.R","chisq-cross-contract","cross chi-square surface uses only the Synopsis contingency route",4,0,FALSE,FALSE,0,0.00999999999999979,0,0.0119999999999987,4
"test-chisq-cross-contract.R","chisq-cross-contract","cross chi-square and Fisher reuse the identical DP release",5,0,FALSE,FALSE,0,0.00999999999999979,0,0.0120000000000005,5
"test-chisq-cross-contract.R","chisq-cross-contract","new cross-owner categorical requests use one Synopsis release",8,0,FALSE,FALSE,0,0.0489999999999995,0.004,0.0570000000000004,8
"test-chunk-transport.R","chunk-transport","blob transport requires typed TRUE from the exact target",6,0,FALSE,FALSE,0,0.234999999999999,0.002,0.24,6
"test-chunk-transport.R","chunk-transport","NULL acknowledgement is never treated as a successful chunk",6,0,FALSE,FALSE,0,0.0129999999999999,0.001,0.0190000000000001,6
"test-chunk-transport.R","chunk-transport","lost response replays identical bytes and immutable geometry",6,0,FALSE,FALSE,0,0.0109999999999992,0,0.0370000000000008,6
"test-chunk-transport.R","chunk-transport","automatic replay is disabled for callbacks not declared idempotent",2,0,FALSE,FALSE,0,0.00600000000000023,0.001,0.00900000000000034,2
"test-chunk-transport.R","chunk-transport","legacy store callbacks are terminal even on its idempotent path",2,0,FALSE,FALSE,0,0.0100000000000016,0.002,0.0129999999999999,2
"test-chunk-transport.R","chunk-transport","legacy store propagates callback peer rejection without retry",4,0,FALSE,FALSE,0,0.00699999999999967,0.005,0.0140000000000011,4
"test-chunk-transport.R","chunk-transport","legacy store propagates top-level peer rejection without retry",4,0,FALSE,FALSE,0,0.0229999999999997,0,0.0259999999999998,4
"test-chunk-transport.R","chunk-transport","legacy store propagates terminal oversize without retry",8,0,FALSE,FALSE,0,0.0140000000000011,0,0.0190000000000001,8
"test-chunk-transport.R","chunk-transport","chunk transport rejects non-ASCII payloads and unrepresentable geometry",3,0,FALSE,FALSE,0,0.0139999999999993,0.001,0.0150000000000006,3
"test-chunk-transport.R","chunk-transport","legacy Base64 frame bound is conservative without full deparse",3,0,FALSE,FALSE,0,0.0950000000000006,0,0.0960000000000001,3
