"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-active-first-typed-migration.R","active-first-typed-migration","every active-first typed producer caches and mints purpose-bound output",30,0,FALSE,FALSE,0,0.0640000000000001,0.00700000000000001,0.125,30
"test-active-first-typed-migration.R","active-first-typed-migration","every active-first recipient requires typed provenance",10,0,FALSE,FALSE,0,0.0389999999999997,0,0.0510000000000002,10
"test-active-first-typed-migration.R","active-first-typed-migration","retired correlation controls are internal and unreachable",4,0,FALSE,FALSE,0,0.0419999999999998,0.002,0.0700000000000003,4
"test-aggregate-surface.R","aggregate-surface","the remotely invocable aggregate surface is an exact allowlist",104,0,FALSE,FALSE,0,0.331,0.0529999999999999,0.496,104
"test-aggregate-surface.R","aggregate-surface","remote aliases fail closed instead of bypassing the central gate",1,0,FALSE,FALSE,0,0.0179999999999989,0.00300000000000011,0.0389999999999997,1
"test-aggregate-surface.R","aggregate-surface","only the stateless Count lifecycle remains remote",5,0,FALSE,FALSE,0,0.0169999999999995,0.00299999999999989,0.0549999999999997,5
"test-aggregate-surface.R","aggregate-surface","the retired bare local SQLite release engine is absent",24,0,FALSE,FALSE,0,2.529,0.113,3.332,24
"test-aggregate-surface.R","aggregate-surface","the unpromoted Phase-1.9 R schedule adapter is hard-deleted",5,0,FALSE,FALSE,0,0.0169999999999995,0.0069999999999999,0.0390000000000015,5
"test-aggregate-surface.R","aggregate-surface","retired remote primitives are not namespace exports",1,0,FALSE,FALSE,0,0.00300000000000011,0.002,0.00600000000000023,1
"test-aggregate-surface.R","aggregate-surface","the remotely invocable assign surface is an exact allowlist",4,0,FALSE,FALSE,0,0.0129999999999999,0.002,0.0330000000000013,4
"test-aggregate-surface.R","aggregate-surface","roxygen cannot silently re-export the retired surface",1,0,FALSE,FALSE,0,0.324,0.0830000000000002,1.228,1
"test-analysis-data-contract.R","analysis-data-contract","GLM standardisation fails closed on missing and non-finite values",2,0,FALSE,FALSE,0,0.565,0.0600000000000001,0.626000000000001,2
