"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-dp-synopsis-exact-downstream.R","dp-synopsis-exact-downstream","fixed-rho GEE schedules bounded chunks without changing the full draw plan",31,0,FALSE,FALSE,0,10.958,0.136,11.215,31
"test-dp-synopsis-exact-downstream.R","dp-synopsis-exact-downstream","exact synopsis FINAL_SHARE authenticates all three fixed-rho GEE segments",10,0,FALSE,FALSE,0,0.224,0.001,0.239000000000001,10
"test-dp-synopsis-exact-downstream.R","dp-synopsis-exact-downstream","exact synopsis FINAL_SHARE admits capacity-bounded GEE chunks",12,0,FALSE,FALSE,0,0.0700000000000003,0,0.0760000000000005,12
"test-dp-synopsis-exact-downstream.R","dp-synopsis-exact-downstream","exact synopsis FINAL_SHARE transports validity and binding",25,0,FALSE,FALSE,0,10.118,0.174,10.311,25
"test-dp-synopsis-exact-downstream.R","dp-synopsis-exact-downstream","exact synopsis segments and final certificates fail closed",22,0,FALSE,FALSE,0,8.005,0.0979999999999999,8.124,22
"test-dp-synopsis-exact-downstream.R","dp-synopsis-exact-downstream","exact FINAL_SHARE excludes K3 and K5 witnesses",36,0,FALSE,FALSE,0,19.811,0.34,20.206,36
"test-dp-synopsis-exact-downstream.R","dp-synopsis-exact-downstream","exact synopsis RELEASE finalizes binding and validity",20,0,FALSE,FALSE,0,10.242,0.295,10.575,20
"test-dp-synopsis-exact-downstream.R","dp-synopsis-exact-downstream","exact synopsis REPLAY is public-only",16,0,FALSE,FALSE,0,9.429,0.25,9.70100000000001,16
"test-exact-gc-release-policy.R","exact-gc-release-policy","custodians can extend release leases without changing defaults",6,0,FALSE,FALSE,0,0.0139999999999958,0,0.0159999999999911,6
"test-exact-gc-release-policy.R","exact-gc-release-policy","extended operation lease survives six hours but still expires",5,0,FALSE,FALSE,0,0.0480000000000018,0.00099999999999989,0.0520000000000067,5
"test-exact-gc-release-policy.R","exact-gc-release-policy","terminal worker failure survives lease checks until explicit abort",12,0,FALSE,FALSE,0,0.0150000000000006,0.00300000000000011,0.0229999999999961,12
"test-exact-gc-transport.R","exact-gc-transport","Ring128 decimal residues use exact canonical little-endian records",17,0,FALSE,FALSE,0,0.0490000000000066,0.00099999999999989,0.0609999999999928,17
